version,team,continent,is_host,goals_scored_last_4y,goals_received_last_4y,wins_last_4y,losses_last_4y,draws_last_4y,world_cup_titles_before,squad_total_market_value_eur,fifa_rank_pre_tournament,fifa_points_pre_tournament,squad_avg_age,world_cup_participations_before,groups_passed_before,round16_before,quarterfinals_before,semifinals_before,finals_before,winner,finalist,semi_finalist,quarter_finalist
2006,Angola,Africa,0,61,49,19,13,14,0,52700000,57,581,29.2,0,0,0,0,0,0,0,0,0,0
2006,Argentina,South America,0,97,55,31,10,10,2,777200000,9,746,27.8,13,10,5,6,4,4,0,0,0,1
2006,Australia,Oceania,0,101,34,23,8,5,0,48030000,42,612,27.1,1,0,0,0,0,0,0,0,0,0
2006,Brazil,South America,0,117,47,30,9,17,5,858500000,1,827,27.1,17,15,7,11,9,6,0,0,0,1
2006,Costa Rica,North America,0,89,84,26,25,11,0,18400000,26,683,24.7,2,1,1,0,0,0,0,0,0,0
2006,Croatia,Europe,0,72,45,22,10,14,0,282300000,23,686,28.2,2,1,1,1,1,0,0,0,0,0
2006,Czech Republic,Europe,0,113,37,33,7,5,0,172800000,2,772,28,0,0,0,0,0,0,0,0,0,0
2006,Ecuador,South America,0,59,73,17,22,12,0,387830000,39,631,25.7,1,0,0,0,0,0,0,0,0,0
2006,England,Europe,0,83,42,27,7,8,1,1620000000,10,741,27.2,11,9,4,7,2,1,0,0,0,1
2006,France,Europe,0,100,23,33,3,13,1,1350000000,8,749,26.8,11,6,4,5,4,1,0,1,1,1
2006,Germany,Europe,1,107,66,26,12,14,3,776500000,19,696,27.7,15,15,7,13,10,7,0,0,1,1
2006,Ghana,Africa,0,58,39,15,13,12,0,191280000,48,600,26.6,0,0,0,0,0,0,0,0,0,0
2006,Iran,Asia,0,113,44,32,8,10,0,38880000,23,686,29.2,2,0,0,0,0,0,0,0,0,0
2006,Italy,Europe,0,71,33,25,5,15,3,838500000,13,728,26.5,15,10,7,8,7,5,1,1,1,1
2006,Ivory Coast,Africa,0,67,34,21,8,8,0,410900000,32,669,25.8,0,0,0,0,0,0,0,0,0,0
2006,Japan,Asia,0,111,63,36,17,15,0,262200000,18,705,26.3,2,1,1,0,0,0,0,0,0,0
2006,Mexico,North America,0,126,54,37,15,15,0,165800000,4,758,27.8,12,5,4,2,0,0,0,0,0,0
2006,Netherlands,Europe,0,88,30,28,7,12,0,766000000,3,768,27,7,7,5,4,3,2,0,0,0,0
2006,Paraguay,South America,0,53,49,18,12,17,0,141850000,33,653,29.1,6,3,3,0,0,0,0,0,0,0
2006,Poland,Europe,0,102,54,32,14,7,0,214500000,29,677,27.6,6,5,2,2,2,0,0,0,0,0
2006,Portugal,Europe,0,104,35,29,6,12,0,864500000,7,750,27,3,1,0,1,1,0,0,0,1,1
2006,Saudi Arabia,Asia,0,109,59,31,16,18,0,30350000,34,651,27.2,3,1,1,0,0,0,0,0,0,0
2006,Serbia and Montenegro,Europe,0,46,42,13,13,12,0,294500000,44,610,26.9,9,7,2,5,2,0,0,0,0,0
2006,South Korea,Asia,0,103,45,30,17,17,0,139750000,29,677,27.9,6,1,1,1,1,0,0,0,0,0
